Format,OpenLAP Export
Venue,blue max
Vehicle,FE12
Driver,OpenLap
Device
Comment
Date,06/09/2025
Time,02:59:18
Frequency,50





distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
m,s,m/s,m,m/s,m/s/s,m/s/s,m/s/s,N,N,N


-2.408661,-0.000000,44.605923,0.000000,27.850626,3.301040,16.932007,12.999707,1341.133911,612.374695,-2648.699951
-1.818761,0.020000,44.257397,0.000000,27.956663,3.746861,14.852261,12.233791,1351.586060,617.147278,-2648.699951
-1.228862,0.040000,43.908871,0.000000,28.062702,4.192681,12.772514,11.467876,1362.038208,621.919800,-2648.699951
-0.638963,0.060000,43.560341,0.000000,28.168736,4.638501,10.692766,10.701959,1372.490112,626.692261,-2648.699951
-0.049064,0.080000,43.211815,0.000000,28.274773,5.084321,8.613020,9.936042,1382.942261,631.464783,-2648.699951
0.540836,0.100000,42.863289,0.000000,28.380810,5.530142,6.533275,9.170126,1393.394531,636.237366,-2648.699951
1.130735,0.120000,42.514763,0.000000,28.486847,5.975963,4.453528,8.404210,1403.846680,641.009888,-2648.699951
1.720634,0.140000,42.166237,0.000000,28.592884,6.421783,2.373781,7.638294,1414.298706,645.782410,-2648.699951
2.310551,0.160000,41.818180,0.000000,28.698971,6.866984,0.296862,6.873398,1424.756104,650.557373,-2648.699951
2.913338,0.180000,41.818180,0.000000,28.841877,6.855351,0.307104,6.862250,1439.076904,657.096436,-2648.699951
3.516125,0.200000,41.818180,0.000000,28.984783,6.843719,0.317346,6.851102,1453.397705,663.635437,-2648.699951
4.118912,0.220000,41.818180,0.000000,29.127689,6.832086,0.327589,6.839953,1467.718506,670.174438,-2648.699951
4.725125,0.240000,41.818180,0.000000,29.270464,6.811642,0.338648,6.820070,1482.095581,676.739136,-2648.699951
5.340462,0.260000,41.818180,0.000000,29.412874,6.767734,0.351883,6.776927,1496.622314,683.372131,-2648.699951
5.955799,0.280000,41.818180,0.000000,29.555285,6.723826,0.365118,6.733784,1511.148926,690.005127,-2648.699951
6.571136,0.300000,41.818180,0.000000,29.697697,6.679919,0.378353,6.690641,1525.675537,696.638184,-2648.699951
7.195312,0.320000,41.818180,0.000000,29.838051,6.636645,0.394548,6.648420,1540.164185,703.253784,-2648.699951
7.822747,0.340000,41.818180,0.000000,29.977650,6.593605,0.411834,6.606539,1554.638916,709.863098,-2648.699951
8.450182,0.360000,41.818180,0.000000,30.117247,6.550565,0.429120,6.564658,1569.113525,716.472412,-2648.699951
9.081995,0.380000,41.818180,0.000000,30.255898,6.507817,0.448527,6.523310,1583.570068,723.073364,-2648.699951
9.721164,0.400000,41.818180,0.000000,30.392956,6.465559,0.471500,6.482858,1597.995605,729.660278,-2648.699951
10.360332,0.420000,41.818180,0.000000,30.530018,6.423302,0.494472,6.442406,1612.421509,736.247253,-2648.699951
11.001794,0.440000,41.818180,0.000000,30.666626,6.381184,0.519073,6.402313,1626.838745,742.830261,-2648.699951
11.652432,0.460000,41.818180,0.000000,30.801422,6.339624,0.550197,6.363657,1641.221558,749.397583,-2648.699951
12.303070,0.480000,41.818180,0.000000,30.936214,6.298066,0.581321,6.325002,1655.604370,755.964966,-2648.699951
12.956099,0.500000,41.818180,0.000000,31.070593,6.256636,0.614972,6.286883,1669.979980,762.528992,-2648.699951
13.618054,0.520000,41.818180,0.000000,31.203400,6.215690,0.658070,6.250772,1684.328491,769.080627,-2648.699951
14.280011,0.540000,41.818180,0.000000,31.336203,6.174744,0.701167,6.214661,1698.676880,775.632324,-2648.699951
14.946576,0.560000,41.818180,0.000000,31.468311,6.134013,0.751641,6.180210,1713.016357,782.179810,-2648.699951
15.619831,0.580000,41.818180,0.000000,31.599407,6.093594,0.812824,6.148168,1727.342407,788.721191,-2648.699951
16.293089,0.600000,41.818180,0.000000,31.730503,6.053175,0.874007,6.116126,1741.668457,795.262695,-2648.699951
16.975416,0.620000,56.640411,0.000000,31.860483,6.013101,0.957540,6.089818,1755.989258,801.801697,-2648.699951
17.660128,0.640000,75.358444,0.000000,31.990170,5.973117,1.046947,6.065017,1770.308838,808.340088,-2648.699951
18.345669,0.660000,87.024429,0.000000,32.118813,5.933454,1.148067,6.044429,1784.561279,814.847961,-2648.699951
19.032654,0.680000,86.433212,0.000000,32.245644,5.894350,1.269546,6.031162,1798.697754,821.302734,-2648.699951
19.719162,0.700000,85.860359,0.000000,32.372097,5.855363,1.387803,6.017735,1812.803589,827.743591,-2648.699951
20.401382,0.720000,85.453888,0.000000,32.495117,5.817434,1.476886,6.002857,1826.632812,834.058167,-2648.699951
21.083599,0.740000,85.047417,0.000000,32.618141,5.779505,1.565969,5.987979,1840.462036,840.372681,-2648.699951
21.770569,0.760000,84.728882,0.000000,32.739471,5.742096,1.639963,5.972260,1854.203369,846.647095,-2648.699951
22.457794,0.780000,84.414993,0.000000,32.860714,5.704715,1.713163,5.956496,1867.939941,852.919434,-2648.699951
23.149248,0.800000,84.078529,0.000000,32.980446,5.667800,1.792319,5.945039,1881.595337,859.154602,-2648.699951
23.841124,0.820000,83.739807,0.000000,33.100025,5.630933,1.872070,5.934011,1895.242310,865.385986,-2648.699951
24.537132,0.840000,83.381332,0.000000,33.218071,5.594537,1.957385,5.927688,1908.803955,871.578308,-2648.699951
25.233763,0.860000,83.020645,0.000000,33.335884,5.558213,2.043406,5.922090,1922.352051,877.764526,-2648.699951
25.933788,0.880000,82.648735,0.000000,33.452393,5.522293,2.133145,5.920528,1935.824219,883.916016,-2648.699951
26.635115,0.900000,82.276230,0.000000,33.568371,5.486535,2.223601,5.920399,1949.264526,890.052979,-2648.699951
27.338665,0.920000,81.902718,0.000000,33.683449,5.451055,2.315280,5.922713,1962.650879,896.165344,-2648.699951
28.044416,0.940000,81.538986,0.000000,33.797585,5.415866,2.405999,5.926744,1975.978271,902.250732,-2648.699951
28.751410,0.960000,81.182983,0.000000,33.911171,5.380845,2.495715,5.931547,1989.271729,908.320679,-2648.699951
29.460945,0.980000,80.858292,0.000000,34.023582,5.346187,2.580134,5.936556,2002.489014,914.355774,-2648.699951
30.171902,1.000000,80.568634,0.000000,34.135269,5.311751,2.657843,5.939876,2015.657959,920.368896,-2648.699951
30.884756,1.020000,80.086365,0.000000,34.246376,5.275045,2.777161,5.963851,2028.792725,926.366333,-2648.699951
31.604177,1.040000,77.892738,0.000000,34.357109,5.219264,3.261140,6.159306,2041.937866,932.368530,-2648.699951
32.330379,1.060000,73.942703,0.000000,34.467358,5.112289,4.129543,6.596561,2055.065674,938.362793,-2648.699951
33.058525,1.080000,70.713913,0.000000,34.575699,5.009643,4.850457,6.974751,2068.002930,944.270081,-2648.699951
33.785278,1.100000,69.574539,0.000000,34.681160,4.942992,5.129395,7.123771,2080.634521,950.037720,-2648.699951
34.509789,1.120000,68.948601,0.000000,34.784489,4.885881,5.298592,7.207471,2093.048340,955.706055,-2648.699951
35.230846,1.140000,69.100861,0.000000,34.885609,4.843270,5.295393,7.176251,2105.237549,961.271729,-2648.699951
35.948326,1.160000,70.088776,0.000000,34.985092,4.816133,5.104369,7.018152,2117.262695,966.762512,-2648.699951
36.661736,1.180000,71.999016,0.000000,35.083176,4.805923,4.705713,6.728380,2129.151611,972.191223,-2648.699951
37.370750,1.200000,74.803108,0.000000,35.180172,4.812068,4.105072,6.331730,2140.940918,977.574280,-2648.699951
38.075233,1.220000,78.329720,0.000000,35.276390,4.831656,3.337769,5.885408,2152.667969,982.928955,-2648.699951
38.775276,1.240000,82.289009,0.000000,35.372108,4.859873,2.463443,5.467253,2164.366211,988.270447,-2648.699951
39.472488,1.260000,82.418289,0.000000,35.467731,4.822110,2.449974,5.492549,2176.083008,993.620361,-2648.699951
40.171341,1.280000,71.424469,0.000000,35.563061,4.583262,5.046804,6.928438,2187.794678,998.968201,-2648.699951
40.878735,1.300000,52.655441,0.000000,35.655247,4.175024,9.820638,10.672138,2199.149902,1004.153076,-2648.699951
41.591057,1.320000,58.601330,0.000000,35.738495,4.276110,8.161393,9.217842,2209.432373,1008.848083,-2648.699951
42.307808,1.340000,65.666679,0.000000,35.824112,4.383120,6.416224,7.785323,2220.032227,1013.688049,-2648.699951
43.029034,1.360000,72.994415,0.000000,35.912170,4.486819,4.702147,6.531155,2230.960693,1018.678101,-2648.699951
43.754921,1.380000,80.403412,0.000000,36.002651,4.533240,2.990439,5.487906,2242.217285,1023.817993,-2648.699951
44.485680,1.400000,64.241333,0.000000,36.094536,4.510365,1.220078,4.769199,2253.676758,1029.050537,-2648.699951
45.221527,1.420000,58.649948,0.000000,36.186432,4.453697,0.881432,4.624115,2265.166748,1034.296875,-2648.699951
45.962708,1.440000,81.349373,0.000000,36.277596,4.396522,2.816862,5.308073,2276.593262,1039.514526,-2648.699951
46.709526,1.460000,70.998367,0.000000,36.368027,4.276936,5.319074,6.881720,2287.957031,1044.703247,-2648.699951
47.461563,1.480000,61.713707,0.000000,36.456383,4.062418,7.648021,8.664448,2299.087646,1049.785645,-2648.699951
48.214844,1.500000,65.835922,0.000000,36.540184,4.059936,6.697661,7.967466,2309.669434,1054.617310,-2648.699951
48.965363,1.520000,79.901772,0.000000,36.623634,4.184105,3.219259,5.285090,2320.230957,1059.439941,-2648.699951
49.715412,1.540000,82.449738,0.000000,36.709183,4.131357,2.616076,4.892687,2331.082764,1064.394897,-2648.699951
50.464958,1.560000,84.608810,0.000000,36.793396,4.079428,2.099378,4.592396,2341.790039,1069.283936,-2648.699951
51.213791,1.580000,51.831902,0.000000,36.876289,4.028311,1.471496,4.294172,2352.353760,1074.107422,-2648.699951
51.961723,1.600000,41.818180,0.000000,36.957882,3.977998,0.742259,4.049644,2362.773926,1078.865356,-2648.699951
52.708519,1.620000,41.818180,0.000000,37.038097,3.928538,0.079808,3.935636,2373.041016,1083.553467,-2648.699951
53.454044,1.640000,55.022827,0.000000,37.116966,3.879905,0.941620,4.006136,2383.159180,1088.173584,-2648.699951
54.197937,1.660000,65.557655,0.000000,37.194550,3.832063,0.924470,3.980216,2393.132812,1092.727539,-2648.699951
54.939957,1.680000,62.976166,0.000000,37.270859,3.785011,3.337710,5.372446,2402.961914,1097.215576,-2648.699951
55.684830,1.700000,78.677406,0.000000,37.346386,3.738436,3.655006,5.239398,2412.710449,1101.666870,-2648.699951
56.435684,1.720000,85.847168,0.000000,37.421436,3.692158,1.435433,3.964739,2422.416504,1106.098755,-2648.699951
57.193367,1.740000,51.675774,0.000000,37.495987,3.646190,1.024329,3.878500,2432.078613,1110.510498,-2648.699951
57.957447,1.760000,78.562485,0.000000,37.570107,3.600487,3.729708,5.249576,2441.703369,1114.905273,-2648.699951
58.725861,1.780000,66.137039,0.000000,37.493019,-11.495658,6.902967,15.237759,2431.699707,1110.337646,-2648.699951
59.494946,1.800000,52.340622,0.000000,37.210354,-15.398212,10.827430,18.849972,2395.167480,1093.656494,-2648.699951
60.268120,1.820000,40.594753,0.000000,37.033627,-7.049381,16.042845,18.762501,2372.467773,1083.291748,-2648.699951
61.058315,1.840000,39.375839,0.000000,37.033627,2.157158,16.621738,16.769674,2372.467773,1083.291748,-2648.699951
